2025-12-06 08:53:35.537 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SENTIS_USDT - Min1
2025-12-06 08:53:35.537 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CLOUD_USDT - Min1
2025-12-06 08:53:35.537 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NB_USDT - Min1
2025-12-06 08:53:35.537 | DEBUG    | MexcSocket                               | 📡 Subscribed to: APE_USDT - Min1
2025-12-06 08:53:35.538 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SYRUP_USDT - Min1
2025-12-06 08:53:35.538 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AIO_USDT - Min1
2025-12-06 08:53:35.538 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PLUME_USDT - Min1
2025-12-06 08:53:35.538 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XMR_USDT - Min1
2025-12-06 08:53:35.538 | DEBUG    | MexcSocket                               | 📡 Subscribed to: IRYS_USDT - Min1
2025-12-06 08:53:35.539 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ORDI_USDT - Min1
2025-12-06 08:53:35.539 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LINEA_USDT - Min1
2025-12-06 08:53:35.539 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FLUX_USDT - Min1
2025-12-06 08:53:35.539 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SAHARA_USDT - Min1
2025-12-06 08:53:35.540 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XAN_USDT - Min1
2025-12-06 08:53:35.540 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HANA_USDT - Min1
2025-12-06 08:53:35.540 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CPOOL_USDT - Min1
2025-12-06 08:53:35.540 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MERL_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RAY_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PARTI_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: 4_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ESUQIE_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MAVIA_USDT - Min1
2025-12-06 08:53:35.541 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GMT_USDT - Min1
2025-12-06 08:53:35.542 | DEBUG    | MexcSocket                               | 📡 Subscribed to: QNT_USDT - Min1
2025-12-06 08:53:35.542 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MOODENG_USDT - Min1
2025-12-06 08:53:35.542 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PAXG_USDT - Min1
2025-12-06 08:53:35.542 | DEBUG    | MexcSocket                               | 📡 Subscribed to: USELESS_USDT - Min1
2025-12-06 08:53:35.542 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AVNT_USDT - Min1
2025-12-06 08:53:35.543 | DEBUG    | MexcSocket                               | 📡 Subscribed to: 1000BONK_USDT - Min1
2025-12-06 08:53:35.543 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NMR_USDT - Min1
2025-12-06 08:53:35.543 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LONG_USDT - Min1
2025-12-06 08:53:35.543 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CLO_USDT - Min1
2025-12-06 08:53:35.543 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BARD_USDT - Min1
2025-12-06 08:53:35.544 | DEBUG    | MexcSocket                               | 📡 Subscribed to: POL_USDT - Min1
2025-12-06 08:53:35.544 | DEBUG    | MexcSocket                               | 📡 Subscribed to: 1INCH_USDT - Min1
2025-12-06 08:53:35.544 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LAB_USDT - Min1
2025-12-06 08:53:35.544 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AT_USDT - Min1
2025-12-06 08:53:35.544 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PENDLE_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ALGO_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: KITE_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LQTY_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HEI_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GALA_USDT - Min1
2025-12-06 08:53:35.545 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PYTH_USDT - Min1
2025-12-06 08:53:35.546 | DEBUG    | MexcSocket                               | 📡 Subscribed to: STBL_USDT - Min1
2025-12-06 08:53:35.546 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MNT_USDT - Min1
2025-12-06 08:53:35.546 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CORE_USDT - Min1
2025-12-06 08:53:35.546 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AERO_USDT - Min1
2025-12-06 08:53:35.546 | DEBUG    | MexcSocket                               | 📡 Subscribed to: THE_USDT - Min1
2025-12-06 08:53:35.547 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SUPRA_USDT - Min1
2025-12-06 08:53:35.547 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RED_USDT - Min1
2025-12-06 08:53:35.547 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ALLO_USDT - Min1
2025-12-06 08:53:35.547 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ZEREBRO_USDT - Min1
2025-12-06 08:53:35.547 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FWOG_USDT - Min1
2025-12-06 08:53:35.548 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MELANIA_USDT - Min1
2025-12-06 08:53:35.548 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ESPORTS_USDT - Min1
2025-12-06 08:53:35.548 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SOONNETWORK_USDT - Min1
2025-12-06 08:53:35.548 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CHESS_USDT - Min1
2025-12-06 08:53:35.548 | DEBUG    | MexcSocket                               | 📡 Subscribed to: M_USDT - Min1
2025-12-06 08:53:35.549 | DEBUG    | MexcSocket                               | 📡 Subscribed to: JCT_USDT - Min1
2025-12-06 08:53:35.549 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AVICI_USDT - Min1
2025-12-06 08:53:35.549 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CRO_USDT - Min1
2025-12-06 08:53:35.549 | DEBUG    | MexcSocket                               | 📡 Subscribed to: VOXEL_USDT - Min1
2025-12-06 08:53:35.549 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DYM_USDT - Min1
2025-12-06 08:53:35.550 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GRIFFAIN_USDT - Min1
